RowId,Sex,Cause of Death,Year,Population,AllFireArmDeath,AllFireArmDeathRate,Age-Adjusted Rate,FireArmHomicide,FirearmHomicideRate,FireArmSuicide,FireArmSuicideRate
Females2000,Females,Firearm,2000,143713786,4081,2.84,2.832594812,1795,1.25,2132,1.48
Females2001,Females,Firearm,2001,145077463,4093,2.82,2.81339053,1816,1.25,2111,1.46
Females2002,Females,Firearm,2002,146394634,4144,2.83,2.823430276,1930,1.32,2063,1.41
Females2003,Females,Firearm,2003,147679036,4012,2.72,2.698521056,1794,1.21,2080,1.41
Females2004,Females,Firearm,2004,148977286,4071,2.73,2.711858319,1703,1.14,2227,1.49
Females2005,Females,Firearm,2005,150319521,4037,2.69,2.669187757,1791,1.19,2086,1.39
Females2006,Females,Firearm,2006,151732647,4184,2.76,2.731364712,1905,1.26,2149,1.42
Females2007,Females,Firearm,2007,153166353,4177,2.73,2.714455366,1865,1.22,2171,1.42
Females2008,Females,Firearm,2008,154604015,4257,2.75,2.728454604,1818,1.18,2292,1.48
Females2009,Females,Firearm,2009,155964075,4426,2.84,2.802034811,1878,1.2,2428,1.56
Females2010,Females,Firearm,2010,156964282,4316,2.75,2.710587324,1738,1.11,2430,1.55
Females2011,Females,Firearm,2011,158399998,4613,2.91,2.873580128,1798,1.14,2670,1.69
Females2012,Females,Firearm,2012,159531199,4725,2.96,2.92456641,1825,1.14,2756,1.73
Females2013,Females,Firearm,2013,160615344,4842,3.01,2.948617779,1763,1.1,2934,1.83
Females2014,Females,Firearm,2014,161783394,4879,3.02,2.966436844,1730,1.07,3003,1.86
Females2015,Females,Firearm,2015,162936583,5220,3.2,3.156216644,1950,1.2,3108,1.91
Males2000,Males,Firearm,2000,138458150,24582,17.75,18.03657446,9006,6.5,14454,10.44
Males2001,Males,Firearm,2001,139891492,25480,18.21,18.44206368,9532,6.81,14758,10.55
Males2002,Males,Firearm,2002,141230559,26098,18.48,18.68452235,9899,7.01,15045,10.65
Males2003,Males,Firearm,2003,142428897,26124,18.34,18.46615131,10126,7.11,14827,10.41
Males2004,Males,Firearm,2004,143828012,25498,17.73,17.82469606,9921,6.9,14523,10.1
Males2005,Males,Firearm,2005,145197078,26657,18.36,18.42169035,10561,7.27,14916,10.27
Males2006,Males,Firearm,2006,146647265,26712,18.22,18.20263554,10886,7.42,14734,10.05
Males2007,Males,Firearm,2007,148064854,27047,18.27,18.24925342,10767,7.27,15181,10.25
Males2008,Males,Firearm,2008,149489951,27336,18.29,18.21980335,10361,6.93,15931,10.66
Males2009,Males,Firearm,2009,150807454,26921,17.85,17.77650806,9615,6.38,16307,10.81
Males2010,Males,Firearm,2010,151783226,27356,18.02,17.9016728,9340,6.15,16962,11.18
Males2011,Males,Firearm,2011,153263360,27738,18.1,17.90999664,9270,6.05,17320,11.3
Males2012,Males,Firearm,2012,154467180,28838,18.67,18.42112703,9797,6.34,17910,11.59
Males2013,Males,Firearm,2013,155589564,28794,18.51,18.24822834,9445,6.07,18241,11.72
Males2014,Males,Firearm,2014,156780062,28715,18.32,17.99876942,9278,5.92,18383,11.73
Males2015,Males,Firearm,2015,157960035,31032,19.65,19.30137771,11029,6.98,18910,11.97
Total2000,Total,Firearm,2000,282171936,28663,10.16,.,10801,3.83,16586,5.88
Total2001,Total,Firearm,2001,284968955,29573,10.38,.,11348,3.98,16869,5.92
Total2002,Total,Firearm,2002,287625193,30242,10.51,.,11829,4.11,17108,5.95
Total2003,Total,Firearm,2003,290107933,30136,10.39,.,11920,4.11,16907,5.83
Total2004,Total,Firearm,2004,292805298,29569,10.1,.,11624,3.97,16750,5.72
Total2005,Total,Firearm,2005,295516599,30694,10.39,.,12352,4.18,17002,5.75
Total2006,Total,Firearm,2006,298379912,30896,10.35,.,12791,4.29,16883,5.66
Total2007,Total,Firearm,2007,301231207,31224,10.37,.,12632,4.19,17352,5.76
Total2008,Total,Firearm,2008,304093966,31593,10.39,.,12179,4.01,18223,5.99
Total2009,Total,Firearm,2009,306771529,31347,10.22,.,11493,3.75,18735,6.11
Total2010,Total,Firearm,2010,308747508,31672,10.26,.,11078,3.59,19392,6.28
Total2011,Total,Firearm,2011,311663358,32351,10.38,.,11068,3.55,19990,6.41
Total2012,Total,Firearm,2012,313998379,33563,10.69,.,11622,3.7,20666,6.58
Total2013,Total,Firearm,2013,316204908,33636,10.64,.,11208,3.54,21175,6.7
Total2014,Total,Firearm,2014,318563456,33594,10.55,,11008,3.46,21386,6.71
Total2015,Total,Firearm,2015,320896618,36252,11.30,,12979,4.04,22018,6.86
